@relation moving_data_6-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute class {0,1,2,3}

@data
0.77189,0.90078,0.36418,0.52345,0.38904,0.97406,0.67484,0.90487,2
0.77029,0.89495,0.36759,0.52076,0.38878,0.97898,0.67906,0.90438,2
0.42981,0.10609,0.89272,0.83216,0.38093,0.13823,0.92325,0.024588,0
0.024288,0.89571,0.22859,0.7898,0.31076,0.43856,0.77569,0.58933,1
0.77148,0.89818,0.36669,0.52082,0.38903,0.97392,0.67946,0.90425,2
0.023521,0.89559,0.2309,0.79461,0.30963,0.43725,0.77098,0.58917,1
0.015772,0.89484,0.23196,0.79342,0.30914,0.43312,0.77156,0.59433,1
0.77051,0.9017,0.36532,0.52128,0.38815,0.9789,0.67672,0.90338,2
0.77092,0.89993,0.37031,0.52063,0.38982,0.97715,0.67326,0.90829,2
0.77284,0.90327,0.36683,0.51833,0.38703,0.97662,0.67486,0.90371,2
0.57965,0.66336,0.84631,0.41743,0.74543,0.12098,0.71259,0.41196,3
0.018128,0.89416,0.22906,0.79746,0.30466,0.43655,0.77299,0.59168,1
0.39403,0.57845,0.41003,0.37199,0.24752,0.10321,0.49761,0.33155,0
0.028485,0.89784,0.22819,0.79061,0.31312,0.43603,0.76628,0.58668,1
0.77055,0.89762,0.37313,0.51978,0.38683,0.9787,0.6809,0.90075,2
0.026654,0.90033,0.22439,0.79519,0.31702,0.43954,0.77292,0.58474,1
0.028418,0.89498,0.23315,0.78986,0.3073,0.43276,0.77182,0.5816,1
0.96039,0.97033,0.73392,0.45748,0.59914,0.354,0.85882,0.30685,0
0.58823,0.66355,0.844,0.41179,0.74466,0.12752,0.72122,0.4123,3
0.032652,0.8977,0.23143,0.79493,0.31015,0.43904,0.76575,0.58554,1
0.77168,0.89959,0.36693,0.51955,0.39032,0.97498,0.67315,0.90525,2
0.77063,0.90033,0.3646,0.52237,0.3913,0.97434,0.67412,0.90247,2
0.77139,0.89707,0.36819,0.52793,0.38876,0.97726,0.67478,0.90515,2
0.024386,0.90328,0.23513,0.80114,0.30608,0.42928,0.77042,0.58812,1
0.77092,0.89667,0.36385,0.52042,0.38727,0.97356,0.67409,0.908,2
0.02438,0.90097,0.23289,0.79587,0.31034,0.43316,0.77651,0.58838,1
0.022738,0.89451,0.23661,0.79289,0.31045,0.43388,0.77171,0.58619,1
0.58766,0.67015,0.84545,0.41155,0.74664,0.13075,0.72035,0.41652,3
0.77392,0.89656,0.36399,0.52121,0.38654,0.97921,0.67404,0.9031,2
0.7707,0.89551,0.3671,0.52255,0.38895,0.97506,0.6709,0.90243,2
0.59008,0.67204,0.8432,0.41696,0.74889,0.12842,0.72176,0.41795,3
0.02565,0.89581,0.22811,0.79089,0.30362,0.44244,0.77036,0.59189,1
0.7705,0.89644,0.36915,0.5269,0.38917,0.97701,0.67575,0.9065,2
0.59037,0.67334,0.85222,0.41543,0.72154,0.10527,0.7137,0.41669,3
0.28943,0.068893,0.21078,0.85857,0.21752,0.7604,0.62528,0.52064,0
0.58717,0.66193,0.84689,0.40789,0.73796,0.13175,0.71232,0.41008,3
0.77227,0.89659,0.36937,0.52665,0.38755,0.97627,0.67455,0.90383,2
0.026898,0.8911,0.22671,0.80204,0.30702,0.43741,0.76682,0.58916,1
0.021146,0.89947,0.24285,0.79466,0.30941,0.43751,0.764,0.58697,1
0.022043,0.8986,0.23369,0.79409,0.30815,0.43045,0.77271,0.58992,1
0.027903,0.90018,0.23049,0.78426,0.30864,0.4326,0.76321,0.58828,1
0.77125,0.89866,0.36584,0.52039,0.39112,0.97693,0.67559,0.90215,2
0.027051,0.89764,0.23019,0.79221,0.30512,0.42627,0.77453,0.58881,1
0.029274,0.89251,0.23096,0.79308,0.30598,0.43159,0.77541,0.5886,1
0.023408,0.90056,0.22734,0.7989,0.30001,0.43483,0.7679,0.59495,1
0.023921,0.89518,0.22764,0.79286,0.31181,0.4382,0.77616,0.5897,1
0.77087,0.89651,0.37014,0.52316,0.38835,0.97541,0.67309,0.90535,2
0.020669,0.90062,0.22931,0.80052,0.31182,0.43699,0.77241,0.59341,1
0.77168,0.89853,0.36926,0.52301,0.38821,0.97508,0.67708,0.90244,2
0.5825,0.6578,0.84805,0.43511,0.7329,0.13313,0.71521,0.40414,3
0.030683,0.8946,0.23577,0.79229,0.31101,0.43585,0.77185,0.58214,1
0.023183,0.89668,0.23222,0.79875,0.30603,0.43083,0.7692,0.58953,1
0.7723,0.89535,0.36792,0.52065,0.38857,0.97454,0.67525,0.90217,2
0.024408,0.89522,0.23183,0.79709,0.31267,0.4385,0.7626,0.59329,1
0.025305,0.8997,0.23658,0.79292,0.30291,0.43727,0.76996,0.58969,1
0.023403,0.89651,0.23368,0.79322,0.30639,0.43509,0.77247,0.58999,1
0.77485,0.89801,0.37707,0.51934,0.38662,0.98343,0.67161,0.90506,2
0.026612,0.89709,0.22445,0.79297,0.3064,0.43637,0.78122,0.59051,1
0.77435,0.9002,0.37271,0.52251,0.38866,0.97839,0.67394,0.90385,2
0.58839,0.67477,0.8401,0.40256,0.74945,0.12239,0.72187,0.41285,3
0.02515,0.88517,0.23073,0.79447,0.3056,0.4308,0.76879,0.58483,1
0.02792,0.8882,0.23147,0.79566,0.31337,0.44678,0.77306,0.58465,1
0.58025,0.67123,0.83781,0.42152,0.75016,0.14143,0.71711,0.41308,3
0.022933,0.89686,0.23257,0.79087,0.30727,0.42325,0.7734,0.58659,1
0.022027,0.89873,0.22614,0.79402,0.30857,0.44031,0.769,0.5833,1
0.032205,0.89848,0.22852,0.79311,0.30729,0.44135,0.77063,0.59269,1
