@relation base_data_19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.31403,0.87621,0.31753,0.45854,0.116,0.75952,0.64684,0.337,0.12774,0.31539,0.092431,0.38329,0.4757,0.067841,0.64265,0.44043,0.65821,0.76564,0.45052,0.62971,0.53444,0.55659,0.91599,0.40992,0.33922,0.24265,0.41122,0.87893,1
0.21762,0.67132,0.5566,0.78185,0.7843,0.22661,0.10634,0.22107,0.77959,0.66066,0.22039,0.77252,0.88699,0.11192,0.33727,0.11717,0.78209,0.88995,0.32706,0.44678,0.1095,0.11233,0.2215,0.66126,0.32673,0.55263,0.78244,0.77317,5
0.33416,0.89237,0.3329,0.44425,0.11304,0.77658,0.66506,0.33318,0.11105,0.33392,0.11287,0.33427,0.44331,0.11035,0.66541,0.44558,0.66654,0.78128,0.44395,0.66647,0.55806,0.55382,0.8912,0.44378,0.33317,0.22192,0.44401,0.88746,1
0.15737,0.41988,0.66669,0.91056,0.31552,0.54152,0.89641,0.19146,0.19003,0.46222,0.29079,0.93356,0.79324,0.53365,0.3274,0.58321,0.21283,0.10755,0.2088,0.2767,0.89244,0.65792,0.3369,0.92962,0.88062,0.878,0.51935,0.30386,6
0.13453,0.21637,0.54155,0.87857,0.8891,0.8863,0.45569,0.54051,0.45619,0.45356,0.67344,0.79525,0.092619,0.37166,0.75612,0.32695,0.30842,0.44844,0.8756,0.88495,0.68241,0.23618,0.70162,0.45629,0.13932,0.68089,0.65355,0.44542,7
0.34533,0.89251,0.34454,0.46274,0.10672,0.77279,0.67636,0.32438,0.11474,0.32998,0.11983,0.34135,0.44466,0.10175,0.66795,0.44229,0.66252,0.77398,0.4448,0.65064,0.55132,0.55835,0.89722,0.45098,0.32673,0.22493,0.44272,0.87153,1
0.33411,0.11565,0.89574,0.55137,0.44741,0.55043,0.44933,0.66806,0.10347,0.11429,0.77659,0.33105,0.55375,0.44439,0.88619,0.78416,0.55281,0.66478,0.55708,0.22088,0.21898,0.77838,0.11672,0.22119,0.55972,0.11757,0.22721,0.44515,3
0.81269,0.10871,0.287,0.57417,0.44398,0.11274,0.12404,0.47596,0.42277,0.7135,0.4874,0.9836,0.83801,0.11845,0.23688,0.1238,0.7201,0.90763,0.31227,0.50346,0.79976,0.094243,0.72334,0.31229,0.9683,0.34515,0.78602,0.70208,0
0.3277,0.11093,0.89422,0.55977,0.44597,0.54995,0.44801,0.6702,0.10633,0.11312,0.78264,0.32947,0.55278,0.43684,0.88574,0.77823,0.55286,0.66855,0.55725,0.22275,0.22596,0.77852,0.11186,0.22279,0.55465,0.11066,0.22924,0.4512,3
0.65413,0.26929,0.66685,0.63659,0.43108,0.41382,0.57645,0.55479,0.6923,0.52584,0.066505,0.47866,0.024559,0.89032,0.30396,0.7613,0.76688,0.28914,0.54443,0.39564,0.4528,0.41856,0.24465,0.20633,0.14721,0.21074,0.047867,0.52762,8
0.33255,0.89049,0.33342,0.44418,0.11248,0.77394,0.66542,0.3335,0.11053,0.33354,0.11219,0.33256,0.44544,0.11074,0.66703,0.44561,0.66567,0.78284,0.44647,0.66186,0.55573,0.55537,0.8881,0.44347,0.33388,0.22071,0.44442,0.88699,1
0.31879,0.90002,0.33343,0.44729,0.10754,0.75911,0.65424,0.33321,0.12185,0.33164,0.10097,0.34052,0.46844,0.10694,0.67467,0.43459,0.66026,0.76487,0.43502,0.67109,0.54805,0.54496,0.90175,0.43192,0.32269,0.23556,0.46098,0.8784,1
0.30602,0.66892,0.088285,0.78376,0.68951,0.78911,0.17922,0.21172,0.21481,0.33196,0.88162,0.65271,0.67679,0.07455,0.43296,0.091695,0.69036,0.14155,0.67531,0.36008,0.22474,0.4194,0.15533,0.66857,0.87487,0.10296,0.46972,0.12219,2
0.31849,0.88777,0.34067,0.45345,0.11082,0.7783,0.65775,0.33602,0.09703,0.34545,0.11323,0.34085,0.43201,0.11455,0.64942,0.44192,0.65377,0.77862,0.44704,0.66554,0.56012,0.54179,0.90027,0.44553,0.30842,0.21381,0.42676,0.88621,1
0.32631,0.88162,0.33547,0.436,0.11341,0.7873,0.66902,0.32956,0.12108,0.32975,0.11157,0.32243,0.4514,0.1109,0.66681,0.44623,0.66967,0.77522,0.43853,0.65912,0.5503,0.56617,0.8941,0.43898,0.33803,0.21704,0.44054,0.8923,1
