@relation dens-diff_data_13-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
0.33648,0.59703,0.49163,0.23682,0.65586,0.40885,0.85299,0.73051,0.64727,0.52734,0.63248,0.36275,0.13721,0.71042,0.4981,0.49505,13
0.96601,0.9667,0.39915,0.26528,0.63168,0.066247,0.69844,0.89781,0.13562,0.86464,0.63515,0.43185,0.73444,0.36432,0.23475,0.80145,4
0.80119,0.93423,0.87654,0.50444,0.39604,0.52765,0.16161,0.063843,0.030996,0.37148,0.90018,0.26931,0.92969,0.86914,0.3368,0.83711,20
0.16232,0.49563,0.26295,0.66455,0.15756,0.93517,0.46572,0.53207,0.85343,0.50093,0.69203,0.43888,0.8142,0.53309,0.25824,0.42983,6
0.39719,0.33519,0.39851,0.80177,0.67214,0.070281,0.70215,0.80051,0.90013,0.36292,0.86712,0.46403,0.83609,0.13593,0.067297,0.031331,11
0.40216,0.33338,0.39719,0.80081,0.66778,0.067628,0.70145,0.79661,0.90531,0.36282,0.8663,0.46318,0.83422,0.13475,0.068051,0.034418,11
0.027716,0.062973,0.40527,0.5618,0.66153,0.60297,0.53491,0.096866,0.56907,0.93044,0.86592,0.89432,0.69988,0.036393,0.75824,0.93516,1
0.36489,0.26586,0.30002,0.4322,0.46954,0.56173,0.83491,0.8956,0.43775,0.60119,0.26438,0.66443,0.33168,0.40279,0.39705,0.89784,3
0.40122,0.79359,0.83083,0.96571,0.23593,0.53537,0.87055,0.73434,0.36919,0.57098,0.93848,0.26676,0.69987,0.46418,0.66767,0.6001,10
0.20073,0.23665,0.60261,0.93728,0.86967,0.13452,0.93159,0.571,0.93058,0.2953,0.83354,0.70015,0.59425,0.83402,0.30315,0.6352,15
0.4349,0.56866,0.1708,0.30091,0.83529,0.06629,0.63429,0.83396,0.76576,0.29599,0.50538,0.63269,0.82914,0.32785,0.50178,0.50266,5
0.39945,0.3317,0.39767,0.80263,0.67036,0.068275,0.70281,0.7978,0.90562,0.3627,0.86539,0.46858,0.83451,0.13433,0.065031,0.031313,11
0.96299,0.079393,0.70421,0.79583,0.76651,0.37943,0.59725,0.044333,0.8373,0.046804,0.68073,0.86879,0.24107,0.80673,0.47513,0.57593,9
0.40389,0.081549,0.28047,0.40915,0.18261,0.074562,0.31136,0.84648,0.79945,0.80223,0.82536,0.32398,0.89668,0.42234,0.27647,0.40968,0
0.029982,0.075967,0.40053,0.56307,0.67206,0.59252,0.53587,0.10504,0.56861,0.94076,0.86796,0.89309,0.70756,0.030513,0.7689,0.93661,1
0.43963,0.44394,0.82964,0.084738,0.13773,0.097944,0.58211,0.85357,0.22864,0.95304,0.40657,0.92399,0.41155,0.041183,0.35306,0.4982,17
0.79849,0.93044,0.86653,0.5044,0.40293,0.53305,0.16159,0.063388,0.03384,0.37294,0.90749,0.26588,0.93591,0.88318,0.33248,0.83258,20
0.50009,0.47593,0.1846,0.47231,0.39502,0.028824,0.46762,0.29884,0.63791,0.56215,0.062609,0.49675,0.79645,0.46225,0.89373,0.23432,8
0.39996,0.79499,0.83508,0.97208,0.23116,0.52988,0.87323,0.7338,0.36814,0.56538,0.93488,0.26609,0.70381,0.46905,0.66346,0.59989,10
0.96113,0.077988,0.70127,0.79649,0.76667,0.38874,0.59922,0.039832,0.82969,0.049875,0.68515,0.86622,0.24085,0.80715,0.48277,0.57562,9
0.32265,0.59808,0.50061,0.26539,0.72841,0.34733,0.86261,0.71076,0.62543,0.48482,0.63046,0.36068,0.09475,0.71256,0.46715,0.46556,13
0.2896,0.50499,0.47973,0.1682,0.68826,0.36245,0.85767,0.62429,0.50304,0.46533,0.66374,0.30065,0.14394,0.63671,0.44866,0.45826,13
0.39617,0.79353,0.83111,0.96893,0.23233,0.53107,0.86939,0.73964,0.36956,0.56555,0.93647,0.26768,0.69904,0.46489,0.66836,0.59843,10
0.43049,0.42549,0.81812,0.087137,0.13472,0.089881,0.57278,0.85339,0.24333,0.97509,0.40694,0.94054,0.40705,0.026971,0.3954,0.48854,17
0.79586,0.93237,0.86856,0.50127,0.41436,0.53252,0.17192,0.072526,0.034202,0.36521,0.90379,0.2668,0.94709,0.86346,0.3439,0.83502,20
0.88461,0.027198,0.34184,0.83973,0.13247,0.73689,0.50479,0.59795,0.026798,0.2601,0.39871,0.69007,0.50392,0.39249,0.67798,0.36566,18
0.35792,0.23329,0.29537,0.47624,0.46689,0.56023,0.81671,0.93307,0.44461,0.59617,0.26441,0.71344,0.33358,0.42377,0.41579,0.91875,3
