@relation m-out_data_17-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute class {0,1,2,3,4,5}

@data
0.7562,0.87636,0.97299,0.88057,0.66357,0.84637,0.54747,0.82095,0.671,0.29955,0.062074,0.057116,0.66514,0.7299,0.51582,0.11934,0.062584,0.58001,0.54894,0.15449,1
0.69943,0.66762,0.30546,0.30104,0.96744,0.78167,0.87623,0.69167,0.39766,0.21541,0.51873,0.72923,0.1799,0.18619,0.91216,0.24511,0.17623,0.21461,0.88189,0.24424,3
0.25882,0.924,0.90001,0.87419,0.15223,0.45826,0.13695,0.36411,0.34215,0.98028,0.8627,0.64203,0.96638,0.020812,0.74669,0.33652,0.64991,0.069564,0.25126,0.27073,5
0.30001,0.028429,0.63789,0.84499,0.36314,0.031247,0.97619,0.72794,0.451,0.27598,0.087399,0.76224,0.27187,0.27402,0.41702,0.51942,0.78433,0.45553,0.76361,0.63482,2
0.75615,0.88013,0.97351,0.87982,0.66751,0.84406,0.5432,0.82222,0.66894,0.29899,0.058594,0.058423,0.66958,0.72972,0.51266,0.11977,0.063524,0.57236,0.54458,0.14983,1
0.53008,0.90748,0.30649,0.41324,0.53318,0.61496,0.29189,0.74978,0.80643,0.65989,0.33519,0.41795,0.14333,0.57837,0.28811,0.22409,0.27864,0.89098,0.71369,0.054861,0
0.6998,0.66876,0.30522,0.30634,0.97402,0.7876,0.87809,0.69712,0.39259,0.2093,0.51915,0.72918,0.18563,0.1864,0.91076,0.23879,0.1851,0.21461,0.87436,0.24354,3
0.23473,0.9333,0.90772,0.88526,0.13914,0.44047,0.11702,0.36308,0.33319,0.92475,0.86465,0.643,0.97856,0.020064,0.71326,0.32975,0.62941,0.054038,0.2383,0.26943,5
0.75752,0.88051,0.96687,0.88091,0.66336,0.8453,0.54862,0.81657,0.66973,0.30119,0.057826,0.057627,0.66355,0.7317,0.51049,0.1254,0.058305,0.57759,0.55119,0.15347,1
0.35467,0.12014,0.61378,0.98132,0.61821,0.66549,0.67435,0.18281,0.077829,0.37894,0.43362,0.89346,0.52514,0.26756,0.83426,0.61371,0.05519,0.092527,0.30884,0.94557,0
0.29936,0.034163,0.63345,0.84593,0.36388,0.03085,0.97668,0.72921,0.45313,0.27407,0.090169,0.76036,0.27593,0.27375,0.41823,0.5181,0.78513,0.45191,0.75773,0.63482,2
0.757,0.88146,0.96872,0.87363,0.66145,0.85213,0.5424,0.82114,0.66989,0.30109,0.063119,0.064014,0.65914,0.72302,0.51632,0.11819,0.057122,0.57952,0.54131,0.15453,1
0.75685,0.88122,0.97336,0.87877,0.66308,0.8518,0.54391,0.82278,0.66862,0.30639,0.063448,0.063627,0.67037,0.72593,0.51197,0.11929,0.057316,0.57393,0.54799,0.14709,1
0.76125,0.88298,0.97388,0.87331,0.66251,0.84574,0.54781,0.81698,0.67046,0.30611,0.057678,0.062288,0.66521,0.73054,0.51232,0.11847,0.062365,0.57404,0.5487,0.14791,1
0.7618,0.88072,0.96917,0.8745,0.66321,0.84504,0.5473,0.82143,0.67038,0.30109,0.058815,0.058964,0.66936,0.73202,0.51712,0.12447,0.058804,0.57336,0.54806,0.15009,1
0.30471,0.034177,0.63821,0.84551,0.36239,0.032997,0.97596,0.72726,0.45524,0.2742,0.090134,0.75933,0.27626,0.27375,0.41746,0.51695,0.78421,0.45445,0.76316,0.63984,2
0.93627,0.38101,0.37197,0.10102,0.71483,0.51326,0.48177,0.055808,0.94122,0.956,0.51769,0.85946,0.63428,0.59721,0.31579,0.85748,0.27214,1.0042,0.31057,0.7059,4
0.24277,0.94794,0.90929,0.87443,0.14843,0.41811,0.11238,0.36779,0.32965,0.94548,0.88755,0.63415,0.95478,0.017624,0.69285,0.33207,0.63668,0.046609,0.24604,0.24427,5
0.75735,0.88105,0.96908,0.87863,0.66287,0.85343,0.54243,0.82236,0.67113,0.3013,0.056185,0.064831,0.66987,0.73047,0.51042,0.11875,0.064363,0.58188,0.55058,0.15554,1
