@relation m-out_data_19-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.42675,0.14404,0.83132,0.16738,0.81071,0.64153,0.14216,0.024631,0.97508,0.16808,0.52538,0.47502,0.81004,0.1443,0.42748,0.74111,0.95086,0.71244,0.28499,0.80868,0.096743,0.61769,0.61746,0.16535,0.68773,0.14187,0.61935,9
0.17165,0.68433,0.93187,0.74124,0.16751,0.47467,0.32994,0.66862,0.1215,0.90558,0.14776,0.78098,0.041974,0.71446,0.091734,0.26077,0.63903,0.62493,0.38387,0.30992,0.23205,0.024946,0.94006,0.69084,0.11694,0.77268,0.21058,10
0.15573,0.6882,0.93341,0.73891,0.16524,0.47327,0.3268,0.66589,0.099008,0.91483,0.13826,0.77621,0.047635,0.7091,0.086698,0.26286,0.63961,0.60514,0.37545,0.30939,0.23812,0.034687,0.93863,0.67943,0.11583,0.78305,0.23307,10
0.16128,0.68792,0.94253,0.72015,0.16765,0.46766,0.3442,0.67703,0.12683,0.91417,0.12573,0.75277,0.036642,0.72923,0.1141,0.25143,0.6382,0.62045,0.3915,0.29675,0.23275,0.049792,0.94483,0.66272,0.12012,0.80179,0.21759,10
0.42971,0.14154,0.83385,0.16552,0.80716,0.64457,0.14552,0.022497,0.97574,0.16804,0.52173,0.47676,0.80921,0.14448,0.4325,0.74018,0.95422,0.71488,0.2844,0.8112,0.096368,0.61999,0.61967,0.16803,0.68723,0.14439,0.61723,9
0.4293,0.14199,0.83372,0.16536,0.80855,0.64472,0.14477,0.022885,0.97577,0.16472,0.52466,0.47682,0.81239,0.14157,0.42856,0.73768,0.95208,0.71541,0.28499,0.81107,0.096377,0.62067,0.6206,0.16546,0.68976,0.14458,0.61682,9
0.33317,0.85968,0.59818,0.78414,0.66709,0.25972,0.66695,0.64218,0.88276,0.14275,0.21421,0.78811,0.95001,0.28381,0.52102,0.75606,0.5975,0.38372,0.67336,0.85036,0.45381,0.87898,0.30983,0.21455,0.28737,0.52562,0.50057,4
0.15818,0.68681,0.94145,0.74577,0.16882,0.47133,0.32539,0.66873,0.1259,0.91125,0.14215,0.78035,0.043562,0.71656,0.089898,0.25748,0.64768,0.61508,0.38283,0.31512,0.23638,0.01538,0.94927,0.68247,0.12335,0.78348,0.2073,10
0.15328,0.69157,0.93369,0.71401,0.16725,0.44823,0.31662,0.66936,0.11552,0.90956,0.10071,0.77433,0.041262,0.72212,0.075906,0.26762,0.67162,0.61587,0.38277,0.30621,0.24633,0.01518,0.9269,0.66479,0.11909,0.79351,0.2104,10
0.80754,0.072348,0.59477,0.68916,0.73694,0.90362,0.85788,0.02503,0.35755,0.81031,0.54623,0.26074,0.7606,0.54716,0.88294,0.40377,0.76191,0.66553,0.64036,0.59497,0.19367,0.52314,0.932,0.11846,0.28487,0.47831,0.9036,3
0.59219,0.50754,0.069747,0.99772,0.46442,0.93198,0.91339,0.49844,0.23603,0.92981,0.42491,0.19588,0.69415,0.79655,0.23322,0.35585,0.393,0.73311,0.95356,0.62143,0.041559,0.65984,0.69575,0.46196,0.1176,0.57054,0.43132,0
0.80819,0.073947,0.5952,0.69256,0.73941,0.90363,0.85811,0.024565,0.35534,0.81092,0.54862,0.25977,0.76246,0.54945,0.88305,0.40716,0.76164,0.66495,0.64432,0.59742,0.1893,0.52571,0.93077,0.12017,0.28703,0.47489,0.90552,3
0.73743,0.86122,0.1889,0.021156,0.048852,0.38043,0.21533,0.64124,0.71064,0.54687,0.95924,0.095675,0.42758,0.95426,0.37694,0.091924,0.40455,0.78415,0.75514,0.30989,0.022715,0.82325,0.66881,0.14341,0.23697,0.97516,0.69582,2
