@relation m-out_data_11-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute class {0,1,2}

@data
0.39452,0.0431,0.95979,0.84023,0.82861,0.89462,0.91783,0.75835,0.31999,0.95687,0.2421,0.57375,0.015239,0.29555,0.94246,0.86186,0.52752,0.83831,0.59418,0.55709,2
0.39068,0.046854,0.95222,0.84112,0.82904,0.90101,0.90874,0.76864,0.3213,0.96457,0.19723,0.57895,0.02786,0.28554,0.94191,0.88605,0.52033,0.85136,0.58105,0.5645,2
0.074279,0.6145,0.28136,0.87262,0.59008,0.023945,0.94999,0.51329,0.66815,0.23147,0.89858,0.30933,0.71553,0.59153,0.38387,0.51157,0.025114,0.051652,0.56434,0.46046,1
0.42115,0.052408,1.0183,0.84689,0.86476,0.89284,0.95381,0.77092,0.34451,0.97786,0.23745,0.59824,0.021442,0.30005,1.001,0.92308,0.49371,0.88879,0.64184,0.60247,2
0.078923,0.61413,0.28326,0.87419,0.58804,0.024303,0.9489,0.51674,0.66689,0.2303,0.8996,0.30769,0.71763,0.58731,0.38394,0.51252,0.023297,0.049392,0.5631,0.46176,1
0.077008,0.61429,0.27986,0.87254,0.59248,0.026019,0.94835,0.5122,0.66471,0.22912,0.89529,0.30705,0.71678,0.58756,0.38408,0.51286,0.024813,0.05011,0.56322,0.46213,1
0.39444,0.057789,0.97561,0.80701,0.83748,0.88097,0.90484,0.77871,0.33705,0.94452,0.23801,0.5984,0.0068639,0.26387,0.96326,0.93677,0.47786,0.80668,0.60036,0.56116,2
0.12089,0.16502,0.26615,0.36348,0.90905,0.18573,0.51446,0.43211,0.1411,0.36284,0.53553,0.36915,0.56236,0.048393,0.47955,0.79973,0.14586,0.12909,0.78209,0.95206,0
0.077885,0.6168,0.28183,0.87199,0.58812,0.025729,0.94734,0.51149,0.66669,0.2299,0.89718,0.30955,0.71794,0.58715,0.38522,0.51297,0.025045,0.052949,0.56531,0.46259,1
0.43086,0.062598,0.97456,0.85178,0.83992,0.90292,0.93651,0.81135,0.36032,0.9853,0.22819,0.59205,0.045413,0.31073,0.99251,0.90944,0.53287,0.85625,0.61972,0.55084,2
0.41797,0.054232,0.96935,0.88779,0.86664,0.93381,0.92955,0.79801,0.36144,0.99645,0.23299,0.61964,0.041254,0.3026,0.97864,0.8782,0.53585,0.85332,0.6037,0.57757,2
0.078848,0.61597,0.28178,0.87233,0.59113,0.024978,0.95044,0.51544,0.66413,0.23095,0.89835,0.30772,0.71543,0.58909,0.3854,0.51605,0.024877,0.048691,0.56199,0.45688,1
