@relation nonstat_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute class {0,1,2,3,4,5}

@data
0.24561,0.89396,0.50722,0.88117,0.63131,0.50881,0.15053,0.67897,0.61742,0.070663,0.10271,0.38299,0.086711,0.96345,0.9605,0.66616,0.38991,0.22533,0.23139,4
0.050748,0.1705,0.28462,0.6736,0.39601,0.11677,0.77552,0.94831,0.32819,0.1032,0.23239,0.4381,0.44109,0.72088,0.56803,0.23062,0.33805,0.34338,0.55288,1
0.28048,0.8851,0.49753,0.87872,0.6144,0.4983,0.16776,0.67122,0.61771,0.054981,0.11171,0.39322,0.055393,0.94776,0.94744,0.66667,0.39046,0.22229,0.2236,4
0.051857,0.17416,0.27179,0.67074,0.38327,0.10103,0.78942,0.95341,0.32753,0.10778,0.22733,0.44799,0.44854,0.73262,0.56461,0.21266,0.32719,0.34025,0.56628,1
0.29385,0.90503,0.45968,0.85381,0.57934,0.46454,0.13038,0.67695,0.60574,0.071178,0.14252,0.42302,0.078103,0.92066,0.98761,0.654,0.32785,0.2367,0.17994,4
0.060381,0.16042,0.2805,0.67712,0.38465,0.10639,0.78928,0.94836,0.33914,0.10611,0.21917,0.45008,0.44922,0.72036,0.55416,0.21927,0.33987,0.32819,0.56687,1
0.25065,0.90223,0.4946,0.88688,0.63132,0.50794,0.18029,0.68112,0.61246,0.068892,0.10091,0.35444,0.072507,0.95602,0.91591,0.67663,0.39774,0.24012,0.2397,4
0.048275,0.17193,0.28188,0.67068,0.38794,0.10775,0.77751,0.95344,0.33884,0.11947,0.21808,0.437,0.43943,0.72054,0.56288,0.23556,0.34514,0.34282,0.56291,1
0.2926,0.88465,0.47252,0.89151,0.67616,0.48462,0.17144,0.65129,0.57481,0.060627,0.11736,0.42006,0.066707,0.9058,0.96858,0.69726,0.39648,0.246,0.22596,4
0.051455,0.16089,0.28183,0.66338,0.39997,0.11499,0.77844,0.94742,0.33907,0.12042,0.21885,0.44139,0.44967,0.7312,0.5664,0.21899,0.33998,0.32727,0.5535,1
0.2812,0.86738,0.494,0.86359,0.62528,0.50124,0.16438,0.65944,0.62409,0.045424,0.12562,0.40482,0.054362,0.94799,0.91567,0.67289,0.3975,0.23673,0.21027,4
0.29593,0.89006,0.51075,0.88323,0.65365,0.55269,0.13657,0.70259,0.5892,0.048812,0.12444,0.40533,0.037244,0.9473,0.95384,0.63108,0.38597,0.23511,0.22359,4
0.051136,0.15657,0.28033,0.66309,0.39596,0.10438,0.77723,0.9361,0.33691,0.11723,0.21455,0.44146,0.43712,0.71843,0.56244,0.21826,0.32789,0.34139,0.56575,1
0.31348,0.9225,0.4911,0.91891,0.64438,0.45956,0.13172,0.67829,0.63314,0.068083,0.078262,0.34506,0.075813,0.97367,0.96069,0.67447,0.42163,0.2361,0.20076,4
0.05075,0.16842,0.28452,0.67074,0.3866,0.11819,0.77023,0.93659,0.33544,0.1048,0.22681,0.43833,0.43746,0.72946,0.55449,0.22658,0.32358,0.34397,0.54914,1
0.10203,0.41542,0.11565,0.39587,0.62006,0.11062,0.34201,0.10166,0.46389,0.04883,0.90538,0.7956,0.32609,0.39836,0.55957,0.055107,0.11109,1.1107,0.4787,0
0.28311,0.90886,0.47665,0.86,0.61877,0.51472,0.15874,0.6682,0.60883,0.066829,0.12681,0.37751,0.038954,0.9414,0.9329,0.65475,0.41629,0.22035,0.21601,4
0.061573,0.15987,0.2815,0.66058,0.40429,0.10663,0.77516,0.9383,0.32351,0.11549,0.21918,0.43577,0.43696,0.72939,0.55289,0.21931,0.3281,0.33164,0.55168,1
0.2325,0.88419,0.45784,0.91011,0.5748,0.53619,0.17324,0.64098,0.63704,0.016268,0.15111,0.42933,0.083135,0.91136,0.9811,0.6451,0.41183,0.19251,0.22548,4
0.051385,0.15416,0.28394,0.67279,0.39973,0.10196,0.77647,0.93895,0.32791,0.11714,0.21811,0.43717,0.43782,0.73206,0.56644,0.23185,0.3303,0.32543,0.55323,1
0.28354,0.88164,0.49629,0.88607,0.61069,0.49508,0.16727,0.67208,0.62357,0.058338,0.1131,0.38842,0.051351,0.94757,0.94835,0.66652,0.38784,0.22829,0.22248,4
0.049043,0.16013,0.26351,0.67107,0.38659,0.10575,0.78558,0.9397,0.3277,0.10446,0.2142,0.43998,0.4402,0.71831,0.5641,0.22847,0.33722,0.33928,0.56402,1
0.29237,0.90293,0.49989,0.88962,0.62142,0.50454,0.16061,0.66752,0.6329,0.028097,0.12396,0.4008,0.055657,0.92878,0.91174,0.66838,0.4067,0.19244,0.21314,4
0.059689,0.15724,0.27343,0.66019,0.3842,0.10534,0.77651,0.93373,0.32813,0.11605,0.21641,0.43805,0.4498,0.7285,0.56994,0.2272,0.33874,0.34617,0.56681,1
0.29948,0.85942,0.48413,0.90378,0.60836,0.52889,0.13806,0.6764,0.62786,0.053559,0.11654,0.37729,0.041122,0.9566,0.95323,0.69701,0.39871,0.23952,0.24696,4
0.28958,0.85912,0.47273,0.89363,0.62487,0.5099,0.14582,0.63398,0.58997,0.081034,0.12586,0.42715,0.068933,0.9323,0.94873,0.68425,0.43743,0.25317,0.19987,4
0.049282,0.17163,0.2724,0.67509,0.3858,0.10067,0.77779,0.93963,0.33711,0.10669,0.22795,0.44809,0.43766,0.71076,0.55242,0.2187,0.33751,0.32963,0.5544,1
0.28786,0.89461,0.47668,0.87085,0.622,0.48849,0.17586,0.67138,0.61317,0.046011,0.11889,0.39261,0.047706,0.94387,0.94007,0.65652,0.40454,0.23304,0.19626,4
0.046229,0.15943,0.26744,0.65532,0.3877,0.1062,0.76927,0.93908,0.33845,0.10623,0.21853,0.43721,0.45337,0.72853,0.56267,0.21715,0.34006,0.34417,0.54558,1
