@relation nonstat_data_5-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute class {0,1,2,3}

@data
0.514,0.92213,0.5979,0.50622,0.34629,0.58794,0.58402,0.9231,0.59588,0.93496,0.16609,0.42615,0.42257,0.090131,0.26498,0.58173,0.52202,0.090615,0.52477,0.34023,0.75401,0.26514,0.097852,0.25914,0.4359,1
0.5857,0.85129,0.25412,0.40151,0.38778,0.23052,0.18383,0.25641,0.82619,0.52368,0.76432,0.85094,0.48528,0.3363,0.16507,0.4044,0.84775,0.67794,0.52435,0.89675,0.25885,0.40526,0.84143,0.91954,0.4125,3
0.50903,0.91798,0.59674,0.50876,0.34054,0.59375,0.5805,0.92738,0.59619,0.93584,0.171,0.42895,0.41992,0.093602,0.25722,0.58681,0.51808,0.090887,0.50839,0.35208,0.75922,0.25572,0.10597,0.25741,0.43743,1
0.51114,0.91969,0.59871,0.5081,0.343,0.58983,0.58326,0.91822,0.60144,0.94056,0.16645,0.4246,0.41985,0.097808,0.25718,0.58208,0.52527,0.099324,0.51251,0.35036,0.76044,0.26371,0.096246,0.25615,0.43691,1
0.59175,0.8292,0.24714,0.42121,0.42245,0.25617,0.16899,0.24783,0.82738,0.5003,0.76015,0.82191,0.49878,0.33908,0.16847,0.4246,0.82313,0.66693,0.50013,0.92364,0.24754,0.40482,0.84222,0.92301,0.42548,3
0.5089,0.92092,0.60296,0.50726,0.34884,0.59772,0.58149,0.92451,0.60017,0.94041,0.16767,0.43106,0.41936,0.097196,0.26429,0.58162,0.52179,0.094985,0.50614,0.35245,0.75864,0.25821,0.092063,0.27564,0.43366,1
0.59971,0.81591,0.26981,0.40181,0.4314,0.25426,0.15147,0.21673,0.80684,0.50589,0.78513,0.83884,0.47262,0.34554,0.14435,0.41888,0.83902,0.66917,0.53076,0.97499,0.24702,0.41328,0.85438,0.90912,0.41836,3
0.50944,0.92209,0.59391,0.50978,0.34514,0.59397,0.58655,0.92091,0.60533,0.94357,0.16811,0.43084,0.42166,0.090223,0.2581,0.58518,0.51526,0.092853,0.50808,0.36115,0.76164,0.25535,0.097091,0.26221,0.43864,1
0.61879,0.84788,0.23194,0.44533,0.41006,0.31807,0.17837,0.20338,0.80571,0.49083,0.73613,0.83133,0.47002,0.36676,0.13125,0.41032,0.78064,0.69609,0.49197,0.89506,0.28609,0.44615,0.83557,0.94796,0.42971,3
0.5234,0.91748,0.59439,0.50858,0.34198,0.58797,0.58169,0.92326,0.59184,0.94246,0.16808,0.42902,0.41975,0.094915,0.27307,0.58001,0.52711,0.089637,0.50649,0.35077,0.75505,0.26136,0.097488,0.25396,0.44823,1
0.57758,0.86341,0.25284,0.40124,0.42561,0.23835,0.1451,0.26311,0.82868,0.49614,0.74457,0.81111,0.50204,0.36189,0.18936,0.4368,0.83417,0.69509,0.49324,0.9087,0.24686,0.42179,0.84557,0.89169,0.38592,3
0.5134,0.91683,0.59368,0.51826,0.34137,0.59179,0.58836,0.91612,0.59395,0.94026,0.16477,0.43151,0.41758,0.10065,0.25328,0.58135,0.51772,0.08569,0.50866,0.34995,0.75934,0.26759,0.1048,0.25896,0.43719,1
0.5052,0.91855,0.6,0.52005,0.34386,0.59349,0.58152,0.9238,0.59384,0.93854,0.17603,0.43048,0.41914,0.092282,0.26171,0.5821,0.52123,0.089957,0.51099,0.35531,0.76255,0.27421,0.099195,0.25736,0.43844,1
